text,language
Billy no mates,English
Knock off,English
Wax poetic,English
Pretty kettle of fish,English
"Wie a zegt, moet ook b zeggen.",Nederlands
Play silly buggers,English
Load of codswallop,English
Win one for the Gipper,English
Spill the beans,English
Blue blood,English
Course of true love never did run smooth - The,English
The call of the wild,English
Gung ho,English
"There but for the grace of God, go I",English
Cart before the horse - Put the,English
High five,English
Mense is meer begaan oor wat hulle weet as om te ontdek wat hulle nog nie weet nie!!,Afrikaans
"Selfs in die slegste vorm van werk, raak die mens se hele siel in harmonie did oomblik dat dit begin werk.",Afrikaans
You get on my wick,English
Bums on seats,English
"Between you, me and the bed-post",English
Easy as pie,English
"Zo gewonnen, zo geronnen.",Nederlands
Fancy free,English
Carte blanche,English
Beauty is in the eye of the beholder,English
Jot or tittle,English
By the book,English
Knee-jerk reaction,English
Wolf in sheep's clothing,English
"‘n Swak tou, moet liggies getrek word.",Afrikaans
Die goudpot aan die einde van die reënboog.,Afrikaans
Cold feet,English
Long in the tooth,English
Getik wees.,Afrikaans
In a pickle,English
Act of God,English
Geld wat stom is maak reg wat krom is.,Afrikaans
Ne'er cast a clout till May be out,English
Beat the living daylights out of someone,English
Hiding to nothing - On a,English
Toe Jors sy eks sien by die kroegtoonbank spring hy knipmes-om.,Afrikaans
The whole shebang,English
"Hanged, drawn and quartered",English
Peg out,English
Don't look a gift horse in the mouth,English
"Iets wat bietjie goed is, is nie goed genoeg nie. Matigheid in humeur is altyd ‘n deug, maar matigheid in beginsel, is altyd ‘n ondeug.",Afrikaans
Music has charms to soothe the savage breast,English
Fight the good fight,English
Eat my hat,English
Vir geen geld ter wêreld nie.,Afrikaans
"Wie de schoen past, trekke hem aan.",Nederlands
Praying at the porcelain altar,English
Famous for fifteen minutes,English
Die Stormers moet nou opstaan uit daai lamrugby-groef waarin hulle verval het.,Afrikaans
Dead as a doornail,English
The bread of life,English
Last straw - The,English
So eet dat ‘n kat nie met jou maag kan wegloop nie.,Afrikaans
Lame duck,English
Grist to the mill,English
Beware of Greeks bearing gifts,English
"Dit is maklik gesê, maar die eend lê die eier.",Afrikaans
Man's inhumanity to man,English
"Bell, book and candle",English
By the short hairs,English
A rolling stone gathers no moss,English
Wild and woolly,English
Tijd vliegt.,Nederlands
As alike as two peas in a pod,English
Sy is ‘n diamant in my kroon.,Afrikaans
"Toe ek begin werk het, wou ek ‘n groot klomp geld gou maak. Later wou ek’n groot klomp geld maak terwyl ek dit geniet, maar later sien ek wat jy werklik wil hê, is om ‘n klein verskil te maak. As jy dit kan doen, kom ander dinge vanself en kan jy dit terdeë geniet.",Afrikaans
Cold turkey,English
Whipping boy,English
"As jy jonk wil bly, bly bruikbaar.",Afrikaans
Shambles,English
"Kritiek is iets wat jy kan vryspring deur NIKS te sê nie, NIKS te doen nie en NIKS te wees nie.",Afrikaans
On with the motley,English
Fifteen minutes of fame,English
Devil and the deep blue sea,English
Dit sal my laat ystervarke vang.,Afrikaans
Hy is ‘n gladde kêrel.,Afrikaans
Sy kan die agterbeen van ‘n donkie afpraat.,Afrikaans
Blood is thicker than water,English
All that glitters is not gold / All that glisters is not gold,English
"Waar een wil is, is een weg.",Nederlands
Skin and blister,English
"Hê jou vyande lief, want jy het hulle gemaak.",Afrikaans
A red rag to a bull,English
"Hark, hark! the lark at heaven's gate sings",English
"Die lewe sonder HUMOR, is soos ‘n kar sonder vere. Dit kan die stampe van die lewenspad nie absorbeer nie.",Afrikaans
Hugger-mugger,English
Hy maak of hy geld in die bank het.,Afrikaans
Canteen culture,English
Daar is maar één rede waarom ‘n mens onder ‘n vreemde nasie inkruip. Die voordeel van die parasiet OF die nadeel van die renegaat.,Afrikaans
The smallest room in the house,English
"Jy kan nie met skoon hande modder gooi nie, nog minder met ‘n rein mond gif spoeg.",Afrikaans
Sy doen die canyon tango.,Afrikaans
Plague on both your houses - A,English
Dassie het ‘n stert gekry.,Afrikaans
Carey Street - On,English
Onder iemand se duiwe skiet.,Afrikaans
Fed up,English
Seven-year itch,English
Spin doctor,English
"Blood, sweat and tears",English
Religion is the opium of the people,English
Dead cat bounce,English
Not worth a plugged nickel,English
Die boog kan nie altyd gespan wees nie.,Afrikaans
Beam ends - On your,English
Go haywire,English
Up a blind alley,English
Pyrric victory,English
Proverbs - A list of,English
Picture-perfect,English
"Pas op vir die man wat sy oë half toe hou. Dis nie dat hy nie wil uitkyk nie, dis om te keer dat jy inkyk.",Afrikaans
Point to point,English
A sledgehammer to crack a nut,English
In trouble,English
Tongue in cheek,English
In limbo,English
Je bent nooit te oud om te leren,Nederlands
A nation of shopkeepers,English
Mondegreens,English
The customer is always right,English
Eigen haard is goud waard.,Nederlands
Chow down,English
For every thing there is a season,English
"Verbosity leads to unclear, inarticulate things",English
One fell swoop - At,English
Ring down the curtain,English
Gussied-up,English
Knock on wood,English
Grandfather clock,English
Don't try to teach your Grandma to suck eggs,English
Vir kwaadgeld rondloop.,Afrikaans
Hy is in hart en niere ‘n Bok-ondersteuner.,Afrikaans
Put your nose out of joint,English
"“Hy tweng-tweng en pang-pang aan die snare.” – Boerneef, Boplaas",Afrikaans
Moenie oor my treur nie – wees bly dat ek eens hier was.,Afrikaans
In the twinkling of an eye,English
The Devil to pay,English
Beggar belief,English
Woe is me,English
The road less travelled,English
Fall guy,English
Faint-hearted,English
In the catbird seat,English
Moenie jou kinders onskuldige plesier belet nie. Hulle sal dit steel en dan is jy nie daarby om te sien dat hulle nie die skuldige by steel nie.,Afrikaans
"As jy aas roer, stink dit.",Afrikaans
Rome is nie in een dag gebou nie so gaan jou gang rustig - hoe meer haas hoe minder spoed.,Afrikaans
"Geld is kleurblind, maar terselfdertyd uiters sensitief vir politike uitsprake.",Afrikaans
By the board,English
"Een rede waarom ‘n hond ‘n goeie trooster kan wees as jy verslae voel, is dat hy nie vrae vra nie.",Afrikaans
Hold your horses,English
Needs must,English
Hoi polloi,English
Wotcher,English
Raining cats and dogs,English
Surf and turf,English
Put the cart before the horse,English
On your beam ends,English
Quicker than lager turns to piss,English
Two cents worth,English
"Sukses, is die kuns om hooi te maak van die gras wat ander mense onder hul voete vertrap.",Afrikaans
Jury is still out,English
Chalk and cheese,English
Off the record,English
Half-cocked,English
Point-blank,English
Beat swords into ploughshares,English
Gridlock,English
Lose face,English
A fool and his money are soon parted,English
Double whammy,English
Enige verandering aan daardie gesig is ‘n verbetering.  [bydrae: Herman Janse van Rensburg],Afrikaans
Hit the nail on the head,English
Staan of hy geld in die bank het.,Afrikaans
The chickens come home to roost,English
Doff your hat,English
Die geel baadjie aan hê.,Afrikaans
Charley horse,English
"Naas die wete wanneer om ‘n geleentheid aan te gryp, is die belangrikste ding in die lewe om te weet wanneer om ‘n geleentheid te laat verbygaan.",Afrikaans
A drop in the bucket,English
Happy as a sandboy,English
A foregone conclusion,English
Lickety-split,English
The real McCoy,English
Jy moet onder sy arm gaan ruik.,Afrikaans
Thumbs up,English
Dead as a dodo,English
Jors is hier weg met die aanslag van die dag.,Afrikaans
Jump on the bandwagon,English
A countenance more in sorrow than in anger,English
Even at the turning of the tide,English
Geld wat sleg is maak krom wat reg is.,Afrikaans
"“Die koringkorrels sjor op die dorsvloer neer.” – Boerneef, Boplaas",Afrikaans
Card-sharp,English
Inside out,English
"Be still, my beating heart",English
We have seen better days,English
Set one's cap at,English
High-flyer,English
Milk of human kindness,English
Friend in need is a friend indeed - A,English
The life of Riley,English
Basket case,English
Belle of the ball,English
Hy kedoem sy kitaar so nou en dan.,Afrikaans
Back to the drawing board,English
Taken aback,English
"Vra my broer Jack, hy lieg nes ek!",Afrikaans
See red,English
Niemand is so dom soos die een wat nie wil leer nie en niemand is so lui soos die een wat nie wil dink nie.,Afrikaans
Take with a grain of salt,English
Make my day,English
Bone dry,English
There is more than one way to kill a cat,English
Fool and his money are soon parted - A,English
Go postal,English
Legend in one's own lifetime,English
Bokwagter word.,Afrikaans
"As is en was, nou nie daar was of was het is gebly en daar was nooit ‘n by wat was, dan was was mos is gewees.",Afrikaans
Play it again Sam,English
Spin jy jou driewiel .,Afrikaans
The fat of the land,English
Urban myth,English
You'll wonder where the yellow went when you brush your teeth with Pepsodent,English
Level playing field,English
It's better to light a candle than curse the darkness,English
Hy het ‘n aap op sy rug.,Afrikaans
Word association football,English
Grond vreet.,Afrikaans
"Moenie die beer se vel verkoop, voordat hy geskiet is nie.",Afrikaans
Rack your brains,English
Titfer,English
I'll go to the foot of our stairs,English
Walter Scott (phrases coined by),English
Jobs for the boys,English
Bell the cat,English
Smallest room in the house - The,English
Stranger than fiction - Truth is,English
Stiffen the sinews,English
Nice kettle of fish,English
A place for everything and everything in its place,English
Fiddling while Rome burns,English
Boss eyed,English
Aan alles komt een eind.,Nederlands
Saved by the bell,English
Grasp the nettle,English
The darkest hour is just before the dawn,English
Ask a silly question and you'll get a silly answer,English
"Sy het so ‘n broeishennetjie-manier van aanlê by die seuns, draai al om hulle.",Afrikaans
Hy is so haastig dat hy sy brood koud blaas en sy koffie kou. ‘n Slegte dag het hy beskryf: “Dit was 1ste graad van laaste graad. ‘n Goeie dag was laaste graad van 1ste graad.,Afrikaans
"Neither fish nor flesh, nor good red herring",English
Go whole hog,English
On tenterhooks,English
‘n Man van twaalf ambagte en dertien ongelukke.,Afrikaans
Bread of life - The,English
Got my mojo working,English
Dit afklink.,Afrikaans
Sir Walter Scott (phrases coined by),English
High and dry,English
La dolce vita,English
Hot-blooded,English
Famous last words (the ironic phrase),English
Air quotes,English
Cloud nine,English
The belle of the ball,English
Look before you leap,English
Dit ruik na geld.,Afrikaans
Haven't got a clue,English
Better late than never,English
Ek sal jou slaan dat jy jou ouma vir ’n eendvoël aansien.,Afrikaans
Purple patch,English
Pig's back - on the,English
(On a) wing and a prayer,English
Gry - Words ending in,English
Fit as a fiddle,English
Chickens come home to roost,English
Baby boomer,English
Mickey Finn,English
Fits to a tee,English
Beyond the pale,English
"As die muis dik is, is die kaas bitter.",Afrikaans
Wat is die belangrikste – geluk of sukses?,Afrikaans
Bed of roses,English
Proof of the pudding is in the eating - The,English
Baby blues,English
Bad hair day,English
Skeleton in the closet,English
By die duiwel gaan bieg.,Afrikaans
Die meisies by Tukkies is gek oor mieliestamp.,Afrikaans
On the wagon,English
"Wat regtig saak maak, is wat jy leer terwyl jy reeds alles weet.",Afrikaans
Safe pair of hands - A,English
Whole-hearted,English
Mutt's nuts - The,English
The tail wagging the dog,English
Go to pot,English
Koerland se vleiseter is 'n lui kalant en so uitgeslape soos my prokureur nie kan droom om te wees.,Afrikaans
Survival of the fittest,English
(The) order of the boot,English
Die Jors is ‘n regte agterdeursuiper.,Afrikaans
Hanky-panky,English
"(An) eye for an eye, a tooth for a tooth",English
Customer is always right - The,English
"Wonder waar was Jors en sy meisie gisteraand, sy het al weer kruipknietjies.",Afrikaans
Give a man a fish and you will feed him for a day,English
Cry havoc and let slip the dogs of war,English
"Die grootste taak in die lewe is nie om te sien wat doer vér in die toekoms lê nie, maar om te identifiseer wat duidelik voor ons lê en dit te verwerk.",Afrikaans
Good Samaritan,English
Norange - A,English
Namby-pamby,English
Die bottel goed aanspreek.,Afrikaans
Darkest hour is just before the dawn - The,English
What's not to like?,English
Beat a hasty retreat,English
Get - underway,English
Face the music,English
"Ars longa, vita brevis",English
"Makkelijker gezegd, dan gedaan.",Nederlands
Belt up,English
"Mense wat min weet, praat baie; mense wat baie weet, praat min.",Afrikaans
"As jy nie daarin slaag om te beplan nie, beplan jy om nie te slaag nie.",Afrikaans
Absolute power corrupts absolutely,English
Name is mud,English
Play by ear,English
For crying out loud,English
Stranger danger,English
Faith will move mountains,English
Loop soos ‘n hen wat nes soek.,Afrikaans
Save one's bacon,English
Never the twain shall meet,English
Don't let the bastards grind you down,English
"Van werk word ek nooit, nooit moeg nie – wat my gedaan maak, is die werk wat lê en wag.",Afrikaans
Tuckered out,English
Nautical phrases,English
Share and share alike,English
We know where you live,English
Gierigheid is die wortel van alle kwaad.,Afrikaans
A plague on both your houses,English
As different as chalk and cheese,English
Life in the 1500s - folk etymologies,English
Boxing Day,English
Game of two halves,English
Adam's ale,English
"Age cannot wither her, nor custom stale her infinite variety",English
Hy hou van ankers uitgooi by elke stopstraat.,Afrikaans
Ou bokke pluk die hoogste doringpeule.,Afrikaans
Genius is one percent inspiration and 99 percent perspiration,English
Het jy al jou bakkies geskottel?,Afrikaans
"Ek sien die veld, die Bosse, Berge, Vlakte. Ek hoor hoe fluister grasse, stroom en wind. O Heer, U sorg vir klein, vir groot, vir alles en U sorg dag na dag vir my, U kind.",Afrikaans
Dit weet die aap se stert.,Afrikaans
Preposterous,English
Op iemand se dak afklim.,Afrikaans
Die ouens sal moet losklos hardloop daar in Londen.,Afrikaans
I haven't got a clue,English
Don't die like I did,English
Hard cases make bad law,English
Salt of the earth - The,English
Dropping like flies,English
Economical with the truth,English
Chit-chat,English
Dock your pay,English
Rinky-dink,English
Exceedingly well read,English
Hy stuur ons van Pontius na Pilatus om te soek na 'n naald in die hooimied.,Afrikaans
Keep a wide berth,English
"‘n Land wat vir sy landbou sorg, sorg vir sy volhoubare toekoms.",Afrikaans
Shake a leg,English
On a wing and a prayer,English
Offing - In the,English
Sê groete aan die vrate.,Afrikaans
Two peas in a pod,English
Tempest in a teapot,English
Luiaard gaan na die mier.,Afrikaans
"As petrol en vuur bymekaar kom, brand dit en as mis en donderweer bymekaar kom. reën dit.",Afrikaans
Vorsprung Durch Technik,English
Hand over fist,English
"Die perd wat die hawer verdien, kry dit nie altyd nie.",Afrikaans
A golden key can open any door,English
Elbow-grease,English
’n Warm hart steek die ander aan die brand.,Afrikaans
"‘n Boer wat ophou skoolgaan voordat hy doodgaan, moet liewer doodgaan voordat hy ophou skoolgaan.",Afrikaans
Dit is vir my Grieks en ek maak nie kop of stert daarvan uit nie.,Afrikaans
Ieder vogeltje zingt zoals het gebekt is.,Nederlands
Haar haan moet altyd koning kraai.,Afrikaans
As white as snow,English
Like two peas in a pod,English
The birds and the bees,English
Fair to middling,English
"Bullet - Bit the, Bite the",English
Chinless wonder,English
Many a little makes a mickle,English
(Coming in) on a wing and a prayer,English
Harp on,English
Touch and go,English
(The) pen is mightier than the sword,English
The Big Apple,English
Out of sorts,English
Hat trick,English
Pig's ear,English
Lead-pipe cinch,English
"Die lewe is soos ‘n “niggerball”. Hy breek jou tande, maar jy hou aan suig.",Afrikaans
Bunny boiler,English
Common sense,English
Let the cat out of the bag,English
Elke mens is ‘n dief in sy eie nering.,Afrikaans
Whole kit and caboodle - The,English
Sien jou in ‘n dik ruk.,Afrikaans
Hy is gedwee soos ‘n delwersdonkie.,Afrikaans
Daar is 2 soorte werksmense: Een werk vir sy loon – die ander word beloon vir sy werk.,Afrikaans
Mad as a march hare,English
Je moet geen oude koeien uit de sloot halen.,Nederlands
Absent without leave,English
"Die reêlmaat van seisoene is ononderhandelbaar. Waar nou die dag nog niks was nie, rinkink die kleure en geur gratis en verniet. Die winterslaap was maar net die broeimasjien van die huidige kleur en geur.",Afrikaans
Hy is ‘n wolf in skaapklere.,Afrikaans
Hy het al harde korsies gebyt.,Afrikaans
Shakespeare (phrases and sayings of),English
Head over heels,English
Down in the dumps,English
Beauty is only skin deep,English
Geduld is ‘n stadige manier om jou moer te strip.,Afrikaans
Hy is ‘n ongeslypte diamant.,Afrikaans
"As jou pad deur die kantvoorspelers versper word, gebruik jy die geweldbreek. – Danie Craven",Afrikaans
One swallow doesn't make a summer,English
Daar is net ‘n trekseltjie koffie oor in die pot.,Afrikaans
The proof of the pudding is in the eating,English
Erken as jy verkeerd is en bly stil as jy reg is.,Afrikaans
Brown as a berry,English
Far from the madding crowd,English
Misery acquaints a man with strange bedfellows,English
Dressed to the nines,English
Hy het die druiwekar gery.,Afrikaans
Horse feathers,English
Bezint eer gij begint.,Nederlands
(A) bigger bang for your buck,English
A little bird told me,English
Above board,English
Put on your thinking cap,English
"Die man met min woorde, se rekenaar is so kompak, dat daar nie plek is vir kaf nie.",Afrikaans
"Geen nieuws, goed nieuws.",Nederlands
What a piece of work is man,English
Revenge is a dish best served cold,English
Twee mossies vir ‘n stuiwer.,Afrikaans
A dog is a man's best friend,English
The law is an ass,English
Hy is kiepkop.,Afrikaans
Pin money,English
Love is blind,English
Fine as frog's hair,English
The hair of the dog that bit you,English
Prick up your ears,English
Chinese whispers,English
What God has joined together let no man put asunder,English
Put up your dukes,English
Stille wateren hebben diepe gronden.,Nederlands
Middle of the road,English
Kick your heels,English
A no-brainer,English
As pleased as Punch,English
A sea change,English
Skaars uit die dop wees.,Afrikaans
Lie low,English
House divided against itself cannot stand - A,English
As cool as a cucumber,English
Farmers,English
Away with the fairies,English
"Houston, we have a problem",English
Hy kollekteer al weer by haar.,Afrikaans
So bang soos ‘n bok vir ‘n skoot hael.,Afrikaans
For the birds,English
The great - unwashed,English
Wick - you get on my,English
Whole shebang - The,English
Dash to pieces,English
Beast with two backs,English
Snug as a bug in a rug,English
Ek is Piet Verdriet op Moedverloor se vlakte vandag.,Afrikaans
A fate worse than death,English
"Hoe korter jy jou kuier maak, hoe gouer sal jy weer genooi word.",Afrikaans
Cock-up,English
Imitation is the sincerest form of flattery,English
A Daniel come to judgement,English
Turn up for the books,English
"Eind goed, al goed.",Nederlands
Devil take the hindmost - The,English
Godfrey Daniel,English
As cold as any stone,English
Die blerrie tweegesig blaf met die honde en huil met die wolwe.,Afrikaans
Coin a phrase,English
Sod's Law,English
Surfing the Net/surfing the Internet/surfing the Web,English
Blot on the landscape,English
Iets is beter as niks.,Afrikaans
Sex and shopping,English
Het regent pijpenstelen,Nederlands
Shebang - The whole,English
Born again,English
Tickle the ivories,English
Vegrissen is menselijk.,Nederlands
"Waar aas is, vergader die arende.",Afrikaans
Fish rot from the head down,English
Politically correct,English
Teenspoed is deel van die lewe.,Afrikaans
Like a moth to a flame,English
Honesty is the best policy,English
Many a true word is spoken in jest,English
Much of a muchness,English
Pull your horns in,English
My stars and garters,English
"Waar bloed nie kan kruip nie, loop dit.",Afrikaans
Een hoofd vol kreuken – een geweten sonder rimpel.,Afrikaans
Hou jy van hospitaalkos?  [bydrae: Herman Janse van Rensburg],Afrikaans
Your money or your life,English
Push the envelope,English
Dit is peper duur.,Afrikaans
A miss is as good as a mile,English
Foot in the door - A,English
Put the wood in the hole,English
Jy kan van ‘n padda nie vere pluk nie.,Afrikaans
Draai jou mantel na die wind.,Afrikaans
Silence is golden,English
Die botter het alleen geslaap.,Afrikaans
Close quarters,English
Dog's bollocks,English
Cock a snook,English
Strain at the leash,English
A rose by any other name would smell as sweet,English
No truck with,English
Gild the lily,English
Knock into a cocked hat,English
Smoke and mirrors,English
"Skat jou bekwaamheid te min om mee te spog en jou karakter te goed om mee te speel, dan sal jy jou selfrespek bewaar en die respek van jou medemens verseker. Daar is maar een soort wat hul deugde onderskat – dis die werklik bekwames.",Afrikaans
Pleased as Punch,English
Rabbit and pork,English
Cut off without a penny,English
Fair and square,English
Where there's muck there's brass,English
Slush fund,English
Best laid schemes of mice and men - The,English
A rolling stone gathers no moss,English
"High, wide and handsome",English
"Jou karakter, soos die fondamente van ‘n huis, is onder die oppervlakte.",Afrikaans
Knuckle down,English
It's that man again,English
Moenie al jou geld op een perd sit nie.,Afrikaans
Piss and vinegar - Full of,English
Go off half-cocked,English
Pull up stakes,English
"POSH - Port out, starboard home",English
Ek sal kan doen met ‘n miljoen.,Afrikaans
Fuddy-duddy,English
Nth degree,English
Tall story,English
Harbinger of doom,English
Moenie al die aanbrandsel uit jou pot krap nie.,Afrikaans
Die rol van Ma-wees is moontlik die belangriste beroep wat enige vrou kan be-oefen.,Afrikaans
Another think coming,English
Brass monkey weather,English
Paper tiger,English
Put a spanner in the works,English
As mad as a March hare,English
Die gierige mens is altyd behoeftig.,Afrikaans
Pommy bashing,English
Bottom drawer,English
Hy is lekker vuurbek.,Afrikaans
The die has been cast,English
Bricks and clicks,English
The short end of the stick,English
Silly Billy,English
To big for your boots,English
Toffee-nosed,English
"Aan skuld betaal kom ‘n end, maar aan spyt kom nooit ‘n end nie.",Afrikaans
Go for a burton,English
From sea to shining sea,English
Topsy-turvy,English
Excuse my French,English
Pony and trap,English
A priori,English
Keepy-uppy,English
"Agter die donkerste onweerswolke, is die ewige son nog altyd daar.",Afrikaans
Sy gewete is toegeskroei.,Afrikaans
Boogie-woogie,English
"As jy skop, kan jy nie trek nie en as jy trek, kan jy nie skop nie.",Afrikaans
Rhyme nor reason,English
Life begins at forty,English
Wooden hill to Bedfordshire,English
Moenie die krag onderskat van dom mense in groot getalle nie.,Afrikaans
Strait-laced,English
As happy as a clam,English
New kid on the block,English
Brass tacks - get down to,English
The living daylights,English
Just deserts,English
Moveable feast,English
Toodle-oo,English
Punch above one's weight,English
As fit as a butcher's dog,English
Cold as any stone,English
An Englishman's home is his castle,English
Pound of flesh,English
Die liefde is ‘n dubbeldoor – iets te wen en iets verloor.,Afrikaans
A little knowledge is a dangerous thing,English
"Persoonlikheid het die mag om deure oop te maak, maar karakter is nodig om hul oop te hou.",Afrikaans
Old as the hills,English
To travel hopefully is a better thing than to arrive,English
Know which way the wind blows,English
Freezing temperatures,English
Prime time,English
Folk Etymology - The Nonsense Nine,English
All of a sudden,English
No dice,English
"‘n Druppel gal is in die soetste wyn; ‘n Traan op elk vrolik snaar; in elke lag ‘n sug van pyn, in elke roos ‘n dowwe blaar. Gewis is alles net ‘n grap! Ons speel in die komedie mee; geblinddoek met ‘n lanferlap; wat selfs die son ‘n skadu gee. Die een wat deur die nag ons pret beloer en laaste lag – is Skoppenboer!",Afrikaans
Booby prize,English
Famous last words (dying statements of famous people - a list),English
Billy-o - Like,English
Nip in the bud,English
Chick flick,English
To boldly go where no man has gone before,English
What part of no don't you understand?,English
The balance of trade,English
Sleep on a clothesline,English
Ons  se geheim: Aanpasbaarheid.,Afrikaans
Bale out/bail out,English
Gestewel en gespoor.,Afrikaans
Hy is baie kamp.,Afrikaans
Nothing succeeds like success,English
Plain sailing,English
Hy was kleindag so onbeskof.,Afrikaans
Beter een half ei dan een lege dop.,Nederlands
A rose is a rose is a rose,English
To the manner born,English
"Celeste Herman: “‘n Mooi uiterlike vang die oog vir ‘n wyle, maar ‘n mooi innerlike word ‘n leeftyd deur die hart vasgevang.”",Afrikaans
Laat ek vir jou vertel wat vis innie Kaap kos.,Afrikaans
Die halter afhaal.,Afrikaans
Bloody-minded,English
Raze to the ground,English
Barking up the wrong tree,English
Dit gaan maar patats.,Afrikaans
Bottom-up,English
"Als de kat van huis is, dansen de muizen op tafel.",Nederlands
Spick and span,English
Think outside the box,English
Strike while the iron is hot,English
Cash on the nail,English
Fast asleep,English
The Devil Incarnate,English
Cat out of the bag - Let the,English
Gordon Bennett,English
Cogito ergo sum,English
Mighty oaks from little acorns grow,English
When it comes to the crunch,English
"Vroeg begonnen, veel gewonnen.",Nederlands
(Beware the) Ides of March,English
Devil to pay - The,English
De laatste druppel doet de emmer overlopen.,Nederlands
Chop-chop,English
Below the belt,English
"Sielkundiges se manier van groet: “Dit gaan goed met JOU, hoe gaan dit met my?”",Afrikaans
Done to a turn,English
Angry young man,English
Live long and prosper,English
Hy skil sy aartappels nie twee keer oor nie.,Afrikaans
Dit is iemand anders se breinkind.,Afrikaans
A thing of beauty is a joy forever,English
In the buff,English
Get off your high horse,English
Rose by any other name would smell as sweet - A,English
A drop in the ocean,English
Jy hou jou rammetjie-uitnek.,Afrikaans
Stitch in time saves nine - A,English
Nitty-gritty,English
Win hands down,English
Ashes to ashes dust to dust,English
You can lead a horse to water but you can't make it drink,English
In the limelight,English
Meat and two veg.,English
Diamond in the rough,English
Eighty six,English
Baby father,English
Break a leg,English
A stitch in time saves nine,English
So tuis wees soos 'n vis in die water.,Afrikaans
High on the hog,English
I bear a charmed life,English
Monty - The full,English
The law is an ass,English
Point Percy at the porcelain,English
Whistle down the wind,English
Grind to a halt,English
In stitches,English
Pony up,English
Collywobbles - The,English
‘n Sinikus is iemand wat die prys van alles weet en die waarde van niks.,Afrikaans
Innocent until proven guilty,English
No room to swing a cat,English
Is the Pope Polish?,English
All things must pass,English
Willy nilly,English
Up a gum tree,English
Beter voorkomen dan genezen.,Nederlands
"Al is die ouer hoe arm, hy dek tog warm.",Afrikaans
Better half,English
Die sout van die aarde.,Afrikaans
Clog up,English
A turn up for the books,English
Game is up - The,English
Speak softly and carry a big stick,English
Geld uit iemand se sak jaag.,Afrikaans
Doldrums - in the,English
Fixer-upper,English
Neither here nor there,English
Laid out in lavender,English
We are a grandmother,English
"As klein mensies groot skaduwees begin gooi, is die son besig om onder te gaan.",Afrikaans
Achilles' heel,English
Lackadaisical,English
Weakest link - A chain is only as strong as its,English
Wish you were here,English
"Oh, they have slain the Earl of Moray and Lady Mondegreen",English
Over a barrel,English
"‘n Mens kan die wyn nie beoordeel, deur na die vat te kyk nie.",Afrikaans
Shut your cake-hole,English
Wing it,English
Sy bont varkie is weg.,Afrikaans
Sea change,English
Up to snuff,English
Come a cropper,English
Down the tubes,English
Let them eat cake,English
Second-guess,English
Till the cows come home,English
‘n Ou bok lus ook nog ‘n groen blaartjie.,Afrikaans
Whistle and flute,English
Carpe Diem: Gryp die dag!,Afrikaans
Tomorrow is another day,English
Ek wonder hoeveel hy sal vra om in ‘n drie-slaapkamer huis te spook?  [bydrae: Allan],Afrikaans
Ek verwonder my dat daardie sterk vrou so skielik dood is en daardie siek man so lank leef….,Afrikaans
Chew the cud,English
Die druiwestokke werk met hom.,Afrikaans
Ticked off,English
To boot,English
"As jyself dink en doen, is jy beperk tot jouself. As jy LEES en DINK en DOEN, is die wye wêreld jou helper.",Afrikaans
I have nothing to declare but my genius,English
"Oh, my stars and garters",English
My old china,English
Hy het al weer aalwyn getap.,Afrikaans
As fit as a fiddle,English
By dint of,English
Dead ringer,English
‘n Gebraaide hoender vlieg niemand in die mond nie.,Afrikaans
Geld groei nie aan bome nie.,Afrikaans
Thinking cap,English
Moaning Minnie,English
The sky's the limit,English
What you see is what you get - wysiwyg,English
Mind your Ps and Qs,English
(The whole) kit and caboodle,English
Pie in the sky,English
Bag and baggage,English
Hard hearted,English
Usual suspects - The,English
The exception which proves the rule,English
"Moenie jou goed in jou lewe onder jou kinders uitdeel nie. As hul spandabel is, sal hulle die goed deurbring en as hulle alternatief inhalig is, sal hulle jou verwaarloos.   Wat ek tot my spyt en verdriet nie gedoen het nie)",Afrikaans
Savoir faire,English
Vir dertig stukke silwer.,Afrikaans
No-brainer,English
Ankle biter,English
Red in tooth and claw,English
"GOLF - Gentlemen only, ladies forbidden",English
Lick into shape,English
In the red,English
One small step for man,English
Volmaaktheid is altyd bereikbaar op ‘n kleinigheid na.,Afrikaans
Ek moet ‘n wegmens wees.,Afrikaans
Fool's paradise - A,English
Pig and whistle,English
Beware the Ides of March,English
Je moet het ijzer smeden als het heet is.,Nederlands
Movers and shakers,English
Hell has no fury like a woman scorned,English
In the doghouse,English
Sak Sarel pa wil 'n Springbok skiet op Dooierus.,Afrikaans
Clear blue water,English
Woman needs a man like a fish needs a bicycle - A,English
Mexican wave,English
Black as Newgate's knocker,English
Sweet Fanny Adams,English
Die dans vryspring.,Afrikaans
Heads up,English
P.D.Q. - pretty damn quick,English
As bald as a coot,English
The opera ain't over till the fat lady sings,English
In spades,English
Cold shoulder,English
"Liewers ‘n kort skande, as ‘n lang verdriet.",Afrikaans
Twenty three skidoo,English
Go the whole hog,English
So tussen die by en die koek.,Afrikaans
Pass over to the other side,English
There are three kinds of lies...,English
Happy as a clam,English
My bad,English
Lay it on with a trowel,English
Die Gautengers lê witpens op Kampsbaai se strand.,Afrikaans
Om groot te skrik is soms meer werd as goeie raad.,Afrikaans
Forgive them for they know not what they do,English
Young turk,English
Between a rock and a hard place,English
Eers grootmense en dan langore.,Afrikaans
